timestamp,mouse_x,mouse_y,mouse_distance,mouse_clicks,keyboard_hits,audio_peak_freq,audio_wavelength
2024-06-08 13:12:32,2051,912,347.35457703059836,0,0,0,0
2024-06-08 13:12:33,2051,912,0,0,0,775.1953125,56.888888888888886
2024-06-08 13:12:33,2051,912,0,0,0,1593.45703125,27.675675675675677
2024-06-08 13:12:34,2051,912,0,0,0,21533.203125,2.048
2024-06-08 13:12:34,1737,1043,686.8175769843353,0,0,19939.74609375,2.2116630669546438
2024-06-08 13:12:35,1648,1091,1705.917300333327,0,0,215.33203125,204.8
2024-06-08 13:12:35,2682,1183,1786.1079636516583,0,0,86.1328125,512.0
2024-06-08 13:12:36,2224,1552,3624.1829591874634,0,0,3617.578125,12.19047619047619
2024-06-08 13:12:36,2566,2140,716.5923579048683,0,0,18863.0859375,2.3378995433789953
2024-06-08 13:12:37,2633,2097,151.72543634121612,1,0,12618.45703125,3.4948805460750854
2024-06-08 13:12:37,2646,2155,61.2070098670747,1,0,21877.734375,2.015748031496063
2024-06-08 13:12:38,1372,2089,1289.2160819827254,0,0,215.33203125,204.8
2024-06-08 13:12:38,1105,2094,275.1336657948336,1,0,129.19921875,341.3333333333333
2024-06-08 13:12:39,442,578,1731.2686604104158,0,0,86.1328125,512.0
2024-06-08 13:12:39,410,604,44.08683166757392,1,0,172.265625,256.0
